구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1,1,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1,0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0,0,0.0
임원,임원,이사,상임 정원,1.0,1.0,1.0,1,1,1.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0,0,0.0
임원,임원,이사,비상임,6.0,9.0,9.0,9,9,9.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0,0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0,0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1,1,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2.0,2,2,2.0
정규직,일반 정규직,정원,계(B),25.0,30.0,31.0,31,33,33.0
정규직,일반 정규직,정원,(별도정원),1.0,2.0,2.0,0,2,2.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0,0,0.0
정규직,일반 정규직,현원,계,28.75,28.5,30.5,29,27,26.63
정규직,일반 정규직,현원,전일제,28.0,27.0,29.0,29,27,26.0
정규직,일반 정규직,현원,단시간,0.75,1.5,1.5,0,0,0.625
정규직,무기 계약직,정원,계(C),3.0,3.0,3.0,3,3,3.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0,0,0.0
정규직,무기 계약직,현원,계,3.0,2.0,3.0,3,3,0.0
정규직,무기 계약직,현원,전일제,3.0,2.0,3.0,3,3,0.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),30.0,35.0,36.0,36,38,38.0
