구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1.0,1,1,1.0
임원,임원,기관장,상임 현원,1,1,1.0,0,1,1.0
임원,임원,기관장,비상임,0,0,0.0,0,0,0.0
임원,임원,이사,상임 정원,0,0,0.0,0,0,0.0
임원,임원,이사,상임 현원,0,0,0.0,0,0,0.0
임원,임원,이사,비상임,4,8,8.0,9,9,9.0
임원,임원,감사,상임 정원,0,0,0.0,0,0,0.0
임원,임원,감사,상임 현원,0,0,0.0,0,0,0.0
임원,임원,감사,비상임,2,2,1.0,2,2,2.0
임원,임원,기타,기타,0,0,0.0,0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1.0,1,1,1.0
정규직,일반 정규직,정원,계(B),90,89,89.0,89,89,63.0
정규직,일반 정규직,정원,(별도정원),1,0,0.0,0,0,0.0
정규직,일반 정규직,정원,(탄력정원),0,0,0.0,0,0,0.0
정규직,일반 정규직,현원,계,71,62,55.75,54,54,54.75
정규직,일반 정규직,현원,전일제,71,62,55.0,54,54,54.0
정규직,일반 정규직,현원,단시간,0,0,0.75,0,0,0.75
정규직,무기 계약직,정원,계(C),0,0,0.0,0,0,0.0
정규직,무기 계약직,정원,(별도정원),0,0,0.0,0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0,0.0,0,0,0.0
정규직,무기 계약직,현원,계,0,0,0.0,0,0,0.0
정규직,무기 계약직,현원,전일제,0,0,0.0,0,0,0.0
정규직,무기 계약직,현원,단시간,0,0,0.0,0,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),91,90,90.0,90,90,64.0
