구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),433.0,439.0,442.0,451.0,463.0,458.0
정규직,일반 정규직,정원,(별도정원),5.0,1.0,4.0,5.0,6.0,2.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,406.25,413.5,411.88,408.63,452.63,460.75
정규직,일반 정규직,현원,전일제,402.0,412.0,410.0,406.0,447.0,458.0
정규직,일반 정규직,현원,단시간,4.25,1.5,1.88,2.63,5.63,2.75
정규직,무기 계약직,정원,계(C),316.0,320.0,364.0,405.0,404.0,385.0
정규직,무기 계약직,정원,(별도정원),0.0,1.0,0.0,1.0,0.0,1.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,305.75,350.38,348.38,336.75,349.0,344.06
정규직,무기 계약직,현원,전일제,305.0,348.0,341.0,325.0,339.0,336.0
정규직,무기 계약직,현원,단시간,0.75,2.38,7.38,11.75,10.0,8.06
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),750.0,760.0,807.0,857.0,868.0,844.0
