구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,0.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,4.0,5.0,5.0,5.0,5.0,5.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),982.0,986.0,950.0,942.0,941.0,916.0
정규직,일반 정규직,정원,(별도정원),31.0,35.0,38.0,30.0,25.0,33.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,895.0,874.0,881.0,893.25,895.75,889.63
정규직,일반 정규직,현원,전일제,892.0,871.0,878.0,891.0,894.0,887.0
정규직,일반 정규직,현원,단시간,3.0,3.0,3.0,2.25,1.75,2.63
정규직,무기 계약직,정원,계(C),621.5,621.5,621.5,621.5,621.5,567.5
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,532.08,490.63,466.63,553.13,564.75,591.25
정규직,무기 계약직,현원,전일제,494.0,445.0,434.0,523.0,529.0,560.0
정규직,무기 계약직,현원,단시간,38.08,45.63,32.63,30.13,35.75,31.25
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1604.5,1608.5,1572.5,1564.5,1563.5,1484.5
