구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,0,0,0,0,0,0
임원,임원,기관장,상임 현원,0,0,0,0,0,0
임원,임원,기관장,비상임,1,1,1,1,1,1
임원,임원,이사,상임 정원,1,1,1,1,1,1
임원,임원,이사,상임 현원,0,0,0,0,1,1
임원,임원,이사,비상임,12,12,12,11,7,7
임원,임원,감사,상임 정원,0,0,0,0,0,0
임원,임원,감사,상임 현원,0,0,0,0,0,0
임원,임원,감사,비상임,2,2,2,2,2,1
임원,임원,기타,기타,0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1,1,1,1
정규직,일반 정규직,정원,계(B),30,30,30,30,31,31
정규직,일반 정규직,정원,(별도정원),0,0,0,0,0,0
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0
정규직,일반 정규직,현원,계,21,22,19,26,21,26
정규직,일반 정규직,현원,전일제,21,22,19,26,21,26
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0
정규직,무기 계약직,정원,계(C),6,20,20,20,20,20
정규직,무기 계약직,정원,(별도정원),0,0,0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0
정규직,무기 계약직,현원,계,6,13,13,13,14,16
정규직,무기 계약직,현원,전일제,6,13,13,13,14,16
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),37,51,51,51,52,52
