구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,4.0,4,4.0,4.0,4.0,4.0
임원,임원,감사,상임 정원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),128.0,136,141.0,153.0,157.0,153.0
정규직,일반 정규직,정원,(별도정원),1.0,2,0.0,0.0,2.0,2.0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,123.0,129,138.75,143.25,150.88,141.88
정규직,일반 정규직,현원,전일제,123.0,129,138.0,142.0,150.0,141.0
정규직,일반 정규직,현원,단시간,0.0,0,0.75,1.25,0.88,0.88
정규직,무기 계약직,정원,계(C),314.0,369,373.0,373.0,373.0,350.0
정규직,무기 계약직,정원,(별도정원),0.0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,305.25,305,303.69,291.06,282.69,291.13
정규직,무기 계약직,현원,전일제,285.0,287,273.0,258.0,254.0,265.0
정규직,무기 계약직,현원,단시간,20.25,18,30.69,33.06,28.69,26.13
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),443.0,506,515.0,527.0,531.0,504.0
