구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,상임 현원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,비상임,4.0,4.0,4.0,4.0,4.0,4.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4.0,4.0,4.0,4.0,4.0,4.0
정규직,일반 정규직,정원,계(B),1556.0,1651.0,1686.0,1699.0,1741.0,1746.0
정규직,일반 정규직,정원,(별도정원),37.0,35.0,35.0,37.0,31.0,45.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,1528.75,1620.5,1632.5,1655.5,1712.6,1739.25
정규직,일반 정규직,현원,전일제,1524.0,1616.0,1628.0,1651.0,1708.6,1735.75
정규직,일반 정규직,현원,단시간,4.75,4.5,4.5,4.5,4.0,3.5
정규직,무기 계약직,정원,계(C),58.0,58.0,533.0,534.0,534.0,520.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,1.0,1.0,1.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,52.38,48.63,423.5,421.88,480.88,481.0
정규직,무기 계약직,현원,전일제,51.0,48.63,423.5,421.88,480.88,481.0
정규직,무기 계약직,현원,단시간,1.38,0.0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1618.0,1713.0,2223.0,2237.0,2279.0,2270.0
