구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,0,0,0,0.0,0.0,0.0
임원,임원,기관장,상임 현원,0,0,0,0.0,0.0,0.0
임원,임원,기관장,비상임,1,1,1,1.0,1.0,1.0
임원,임원,이사,상임 정원,1,1,1,1.0,1.0,1.0
임원,임원,이사,상임 현원,1,1,1,1.0,1.0,1.0
임원,임원,이사,비상임,13,13,13,13.0,13.0,13.0
임원,임원,감사,상임 정원,0,0,0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0,0,0.0,0.0,0.0
임원,임원,감사,비상임,1,1,1,1.0,1.0,1.0
임원,임원,기타,기타,0,0,0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),49,48,49,55.0,55.0,55.0
정규직,일반 정규직,정원,(별도정원),1,0,1,1.0,1.0,1.0
정규직,일반 정규직,정원,(탄력정원),0,0,0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,47,47,48,52.0,53.0,53.63
정규직,일반 정규직,현원,전일제,47,47,48,52.0,53.0,53.0
정규직,일반 정규직,현원,단시간,0,0,0,0.0,0.0,0.63
정규직,무기 계약직,정원,계(C),1011,1208,1220,1219.0,1240.0,1234.0
정규직,무기 계약직,정원,(별도정원),1,2,1,0.0,1.0,3.0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,975,1167,1164,1140.18,1172.03,1169.04
정규직,무기 계약직,현원,전일제,975,1167,1164,1134.0,1155.0,1155.0
정규직,무기 계약직,현원,단시간,0,0,0,6.18,17.03,14.04
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1061,1257,1270,1275.0,1296.0,1290.0
