구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1,1.0,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1,1.0,1.0
임원,임원,기관장,비상임,0,0.0,0.0,0,0.0,0.0
임원,임원,이사,상임 정원,0,0.0,0.0,0,0.0,0.0
임원,임원,이사,상임 현원,0,0.0,0.0,0,0.0,0.0
임원,임원,이사,비상임,10,10.0,10.0,10,10.0,10.0
임원,임원,감사,상임 정원,1,1.0,1.0,1,1.0,1.0
임원,임원,감사,상임 현원,1,1.0,1.0,1,1.0,1.0
임원,임원,감사,비상임,0,0.0,0.0,0,0.0,0.0
임원,임원,기타,기타,0,0.0,0.0,0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2,2.0,2.0,2,2.0,2.0
정규직,일반 정규직,정원,계(B),1434,1535.0,1708.0,1756,1819.0,1903.0
정규직,일반 정규직,정원,(별도정원),9,12.0,14.0,20,26.0,29.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0,0.0,0.0
정규직,일반 정규직,현원,계,1160,1330.25,1506.25,1591,1613.5,1653.13
정규직,일반 정규직,현원,전일제,1151,1313.0,1495.0,1567,1594.0,1624.0
정규직,일반 정규직,현원,단시간,9,17.25,11.25,24,19.5,29.13
정규직,무기 계약직,정원,계(C),94,0.0,1.0,1,1.0,1.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0,0.0,0.0
정규직,무기 계약직,현원,계,1,1.0,1.0,1,7.0,7.0
정규직,무기 계약직,현원,전일제,1,1.0,1.0,1,7.0,7.0
정규직,무기 계약직,현원,단시간,0,0.0,0.0,0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1530,1537.0,1711.0,1759,1822.0,1906.0
