구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1.0,1.0,1.0,1
임원,임원,기관장,상임 현원,1.0,1,1.0,1.0,1.0,1
임원,임원,기관장,비상임,0.0,0,0.0,0.0,0.0,0
임원,임원,이사,상임 정원,3.0,3,3.0,3.0,3.0,3
임원,임원,이사,상임 현원,3.0,3,3.0,3.0,2.0,3
임원,임원,이사,비상임,11.0,11,11.0,11.0,11.0,10
임원,임원,감사,상임 정원,1.0,1,1.0,1.0,1.0,1
임원,임원,감사,상임 현원,0.0,1,1.0,1.0,0.0,1
임원,임원,감사,비상임,0.0,0,0.0,0.0,0.0,0
임원,임원,기타,기타,0.0,0,0.0,0.0,0.0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5,5.0,5.0,5.0,5
정규직,일반 정규직,정원,계(B),2954.0,3232,3327.0,3479.0,3540.0,3470
정규직,일반 정규직,정원,(별도정원),87.0,68,67.0,99.0,85.0,72
정규직,일반 정규직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0
정규직,일반 정규직,현원,계,3024.75,3330,3280.5,3322.5,3314.5,3430
정규직,일반 정규직,현원,전일제,2960.0,3223,3148.0,3170.0,3147.0,3260
정규직,일반 정규직,현원,단시간,64.75,107,132.5,152.5,167.5,170
정규직,무기 계약직,정원,계(C),305.0,393,393.0,487.0,487.0,455
정규직,무기 계약직,정원,(별도정원),0.0,0,0.0,0.0,0.0,0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0
정규직,무기 계약직,현원,계,145.75,346,369.0,470.25,435.25,416
정규직,무기 계약직,현원,전일제,145.0,346,369.0,468.0,430.0,410
정규직,무기 계약직,현원,단시간,0.75,0,0.0,2.25,5.25,6
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),3264.0,3630,3725.0,3971.0,4032.0,3930
