구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,비상임,13.0,13.0,13.0,13.0,13.0,13.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),3.0,3.0,3.0,3.0,3.0,3.0
정규직,일반 정규직,정원,계(B),131.0,148.0,167.0,173.0,175.0,167.0
정규직,일반 정규직,정원,(별도정원),0.0,0.0,0.0,4.0,5.0,0.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,126.0,145.0,161.0,162.0,157.0,160.0
정규직,일반 정규직,현원,전일제,126.0,145.0,161.0,162.0,157.0,160.0
정규직,일반 정규직,현원,단시간,0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,계(C),22.5,40.5,42.5,42.5,45.5,46.5
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,1.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,22.5,36.5,38.5,39.5,40.0,43.0
정규직,무기 계약직,현원,전일제,22.0,36.0,38.0,39.0,40.0,43.0
정규직,무기 계약직,현원,단시간,0.5,0.5,0.5,0.5,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),156.5,191.5,212.5,218.5,223.5,216.5
