구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1,1,1
임원,임원,기관장,상임 현원,1,1,1,1,1,1
임원,임원,기관장,비상임,0,0,0,0,0,0
임원,임원,이사,상임 정원,0,0,0,0,0,0
임원,임원,이사,상임 현원,0,0,0,0,0,0
임원,임원,이사,비상임,10,10,10,10,10,10
임원,임원,감사,상임 정원,1,1,1,1,1,1
임원,임원,감사,상임 현원,1,1,1,1,1,1
임원,임원,감사,비상임,0,0,0,0,0,0
임원,임원,기타,기타,0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),2,2,2,2,2,2
정규직,일반 정규직,정원,계(B),3739,4412,4921,5126,5715,5713
정규직,일반 정규직,정원,(별도정원),25,34,25,49,36,41
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0
정규직,일반 정규직,현원,계,3278,3429,4329,4759,4917,5022
정규직,일반 정규직,현원,전일제,3278,3429,4329,4759,4917,5022
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0
정규직,무기 계약직,정원,계(C),138,143,146,0,0,0
정규직,무기 계약직,정원,(별도정원),0,0,0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0
정규직,무기 계약직,현원,계,131,112,95,0,0,0
정규직,무기 계약직,현원,전일제,131,112,95,0,0,0
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),3879,4557,5069,5128,5717,5715
