구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,비상임,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,0.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),575.0,578.0,588.0,590.0,593.0,594.0
정규직,일반 정규직,정원,(별도정원),41.0,28.0,26.0,21.0,13.0,26.0
정규직,일반 정규직,정원,(탄력정원),6.0,6.0,9.0,16.0,20.0,20.0
정규직,일반 정규직,현원,계,562.13,568.38,579.64,581.76,555.24,565.8
정규직,일반 정규직,현원,전일제,558.0,565.0,573.0,574.0,547.0,552.0
정규직,일반 정규직,현원,단시간,4.13,3.38,6.64,7.76,8.24,13.8
정규직,무기 계약직,정원,계(C),78.0,79.0,87.0,88.0,89.0,84.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,4.0,5.0,5.0,5.0
정규직,무기 계약직,현원,계,71.5,73.5,77.85,77.4,77.85,76.94
정규직,무기 계약직,현원,전일제,69.0,70.0,72.0,72.0,69.0,69.0
정규직,무기 계약직,현원,단시간,2.5,3.5,5.85,5.4,8.85,7.94
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),658.0,662.0,680.0,683.0,687.0,683.0
