구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1,1,1
임원,임원,기관장,상임 현원,1,1,1,1,1,0
임원,임원,기관장,비상임,0,0,0,0,0,0
임원,임원,이사,상임 정원,0,0,0,0,0,0
임원,임원,이사,상임 현원,0,0,0,0,0,0
임원,임원,이사,비상임,10,10,9,9,12,12
임원,임원,감사,상임 정원,0,0,0,0,0,0
임원,임원,감사,상임 현원,0,0,0,0,0,0
임원,임원,감사,비상임,2,2,2,2,2,2
임원,임원,기타,기타,0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1,1,1,1
정규직,일반 정규직,정원,계(B),50,55,64,66,75,75
정규직,일반 정규직,정원,(별도정원),0,0,0,0,0,0
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0
정규직,일반 정규직,현원,계,33,36,59,57,62,65
정규직,일반 정규직,현원,전일제,33,36,59,57,62,65
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0
정규직,무기 계약직,정원,계(C),0,0,0,1,1,1
정규직,무기 계약직,정원,(별도정원),0,0,0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0
정규직,무기 계약직,현원,계,0,0,0,1,2,3
정규직,무기 계약직,현원,전일제,0,0,0,1,2,3
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),51,56,65,68,77,77
