구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,상임 현원,5.0,5.0,5.0,4.0,5.0,3.0
임원,임원,이사,비상임,7.0,7.0,7.0,7.0,7.0,7.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),7.0,7.0,7.0,7.0,7.0,7.0
정규직,일반 정규직,정원,계(B),1489.0,1664.0,1741.0,1846.0,1877.0,1831.0
정규직,일반 정규직,정원,(별도정원),15.0,27.0,18.0,30.0,26.0,20.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,1453.75,1600.75,1701.13,1805.88,1825.25,1806.38
정규직,일반 정규직,현원,전일제,1442.0,1574.0,1661.0,1757.0,1769.0,1754.0
정규직,일반 정규직,현원,단시간,11.75,26.75,40.13,48.88,56.25,52.38
정규직,무기 계약직,정원,계(C),347.0,347.0,347.0,347.0,347.0,347.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,340.0,302.5,341.0,327.25,327.63,326.5
정규직,무기 계약직,현원,전일제,340.0,301.0,332.0,322.0,322.0,322.0
정규직,무기 계약직,현원,단시간,0.0,1.5,9.0,5.25,5.63,4.5
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1843.0,2018.0,2095.0,2200.0,2231.0,2185.0
