구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,0.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,11.0,11.0,12.0,12.0,12.0,12.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),87.0,90.0,91.0,93.0,96.0,95.0
정규직,일반 정규직,정원,(별도정원),2.0,2.0,1.0,1.0,1.0,0.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,82.5,74.5,83.5,88.5,90.5,92.0
정규직,일반 정규직,현원,전일제,78.0,70.0,79.0,84.0,86.0,89.0
정규직,일반 정규직,현원,단시간,4.5,4.5,4.5,4.5,4.5,3.0
정규직,무기 계약직,정원,계(C),84.0,86.0,86.0,86.0,86.0,78.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,71.0,71.0,66.0,64.0,65.0,66.63
정규직,무기 계약직,현원,전일제,71.0,71.0,66.0,64.0,65.0,65.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0.0,0.0,1.63
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),172.0,177.0,178.0,180.0,183.0,174.0
