구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,비상임,7.0,6.0,7.0,9.0,9.0,10.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),1439.0,1467.0,1476.0,1463.0,1477.0,1456.0
정규직,일반 정규직,정원,(별도정원),68.0,61.0,49.0,35.0,30.0,36.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,2.0,2.0
정규직,일반 정규직,현원,계,1326.35,1381.69,1391.63,1412.33,1411.78,1411.83
정규직,일반 정규직,현원,전일제,1322.0,1380.0,1389.0,1409.0,1409.0,1409.0
정규직,일반 정규직,현원,단시간,4.35,1.687,2.625,3.325,2.775,2.825
정규직,무기 계약직,정원,계(C),1035.0,1066.0,1142.0,1163.0,1192.0,1084.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,958.75,1002.38,1077.49,1093.8,1126.08,1135.38
정규직,무기 계약직,현원,전일제,958.0,1000.0,1075.0,1090.0,1122.0,1131.0
정규직,무기 계약직,현원,단시간,0.75,2.375,2.488,3.8,4.075,4.375
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),2479.0,2538.0,2623.0,2631.0,2674.0,2545.0
