구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1,1,1
임원,임원,기관장,상임 현원,1,1,1,1,1,1
임원,임원,기관장,비상임,0,0,0,0,0,0
임원,임원,이사,상임 정원,2,2,2,2,2,2
임원,임원,이사,상임 현원,2,2,2,2,2,2
임원,임원,이사,비상임,5,5,5,5,4,5
임원,임원,감사,상임 정원,0,0,0,0,0,0
임원,임원,감사,상임 현원,0,0,0,0,0,0
임원,임원,감사,비상임,1,1,1,1,1,1
임원,임원,기타,기타,0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),3,3,3,3,3,3
정규직,일반 정규직,정원,계(B),111,109,110,116,119,116
정규직,일반 정규직,정원,(별도정원),4,1,0,2,2,0
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0
정규직,일반 정규직,현원,계,101,101,99,103,107,103
정규직,일반 정규직,현원,전일제,101,101,99,103,107,103
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0
정규직,무기 계약직,정원,계(C),89,91,95,95,95,94
정규직,무기 계약직,정원,(별도정원),0,0,0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0
정규직,무기 계약직,현원,계,84,81,85,90,84,77
정규직,무기 계약직,현원,전일제,84,81,85,90,84,77
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),203,203,208,214,217,213
