구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1.0,1.0,1
임원,임원,기관장,상임 현원,1,1,1,1.0,1.0,1
임원,임원,기관장,비상임,0,0,0,0.0,0.0,0
임원,임원,이사,상임 정원,0,0,0,0.0,0.0,0
임원,임원,이사,상임 현원,0,0,0,0.0,0.0,0
임원,임원,이사,비상임,9,10,10,10.0,9.0,11
임원,임원,감사,상임 정원,0,0,0,0.0,0.0,0
임원,임원,감사,상임 현원,0,0,0,0.0,0.0,0
임원,임원,감사,비상임,1,1,1,1.0,1.0,1
임원,임원,기타,기타,0,0,0,0.0,0.0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1,1.0,1.0,1
정규직,일반 정규직,정원,계(B),39,39,39,39.0,39.0,39
정규직,일반 정규직,정원,(별도정원),0,0,0,0.0,0.0,0
정규직,일반 정규직,정원,(탄력정원),0,0,0,0.0,0.0,0
정규직,일반 정규직,현원,계,32,32,29,31.0,35.0,34
정규직,일반 정규직,현원,전일제,32,32,29,31.0,35.0,34
정규직,일반 정규직,현원,단시간,0,0,0,0.0,0.0,0
정규직,무기 계약직,정원,계(C),40,40,40,40.0,40.0,40
정규직,무기 계약직,정원,(별도정원),0,0,0,0.0,0.0,0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0.0,0.0,0
정규직,무기 계약직,현원,계,40,35,32,29.5,34.5,34
정규직,무기 계약직,현원,전일제,40,35,32,29.0,34.0,34
정규직,무기 계약직,현원,단시간,0,0,0,0.5,0.5,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),80,80,80,80.0,80.0,80
