구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1.0,1.0,1,1
임원,임원,기관장,상임 현원,1.0,1,1.0,1.0,1,1
임원,임원,기관장,비상임,0.0,0,0.0,0.0,0,0
임원,임원,이사,상임 정원,5.0,5,5.0,5.0,5,5
임원,임원,이사,상임 현원,3.0,5,5.0,5.0,5,5
임원,임원,이사,비상임,6.0,6,6.0,6.0,6,7
임원,임원,감사,상임 정원,0.0,0,0.0,0.0,0,0
임원,임원,감사,상임 현원,0.0,0,0.0,0.0,0,0
임원,임원,감사,비상임,1.0,1,1.0,1.0,1,1
임원,임원,기타,기타,0.0,0,0.0,0.0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),6.0,6,6.0,6.0,6,6
정규직,일반 정규직,정원,계(B),332.0,342,350.0,360.0,361,353
정규직,일반 정규직,정원,(별도정원),4.0,4,4.0,2.0,0,0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0.0,0.0,0,0
정규직,일반 정규직,현원,계,235.0,300,327.63,334.0,336,347
정규직,일반 정규직,현원,전일제,232.0,300,326.0,334.0,336,347
정규직,일반 정규직,현원,단시간,3.0,0,1.63,0.0,0,0
정규직,무기 계약직,정원,계(C),247.0,253,255.0,283.0,283,264
정규직,무기 계약직,정원,(별도정원),0.0,0,0.0,0.0,0,0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0.0,0.0,0,0
정규직,무기 계약직,현원,계,206.75,193,197.63,246.5,254,248
정규직,무기 계약직,현원,전일제,206.0,193,196.0,245.0,254,248
정규직,무기 계약직,현원,단시간,0.75,0,1.63,1.5,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),585.0,601,611.0,649.0,650,623
