구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,0.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,8.0,8.0,8.0,8.0,8.0,8.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),1351.0,1398.0,1427.0,1449.0,1506.0,1508.0
정규직,일반 정규직,정원,(별도정원),5.0,1.0,6.0,3.0,5.0,7.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,1247.5,1300.69,1368.68,1426.0,1473.25,1504.56
정규직,일반 정규직,현원,전일제,1244.0,1293.0,1359.0,1422.0,1463.0,1490.0
정규직,일반 정규직,현원,단시간,3.5,7.69,9.68,4.0,10.25,14.56
정규직,무기 계약직,정원,계(C),70.1,581.1,605.1,624.1,658.1,646.1
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,1.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,64.1,551.6,546.1,547.3,584.91,601.6
정규직,무기 계약직,현원,전일제,62.0,548.0,543.0,546.0,581.0,599.0
정규직,무기 계약직,현원,단시간,2.1,3.6,3.1,1.3,3.91,2.6
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1422.1,1980.1,2033.1,2074.1,2165.1,2155.1
