구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1.0,0.0
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,상임 현원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,비상임,5,5.0,5.0,5.0,5.0,5.0
임원,임원,감사,상임 정원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2,2.0,2.0,2.0,2.0,2.0
정규직,일반 정규직,정원,계(B),44,45.0,46.0,46.0,47.0,45.0
정규직,일반 정규직,정원,(별도정원),0,0.0,0.0,0.0,1.0,0.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,38,41.75,40.0,44.75,45.0,40.5
정규직,일반 정규직,현원,전일제,38,41.0,40.0,44.0,45.0,39.0
정규직,일반 정규직,현원,단시간,0,0.75,0.0,0.75,0.0,1.5
정규직,무기 계약직,정원,계(C),15,17.0,17.0,17.0,17.0,15.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,11,12.88,11.88,13.88,12.88,12.88
정규직,무기 계약직,현원,전일제,11,12.0,11.0,13.0,12.0,12.0
정규직,무기 계약직,현원,단시간,0,0.875,0.875,0.875,0.875,0.875
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),61,64.0,65.0,65.0,66.0,62.0
