구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),1355.0,1537.5,1638.5,1674.5,1784.5,1784.5
정규직,일반 정규직,정원,(별도정원),2.0,3.0,7.0,4.0,6.0,6.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,1316.0,1426.0,1567.5,1617.5,1707.5,1700.5
정규직,일반 정규직,현원,전일제,1316.0,1426.0,1566.0,1616.0,1706.0,1699.0
정규직,일반 정규직,현원,단시간,0.0,0.0,1.5,1.5,1.5,1.5
정규직,무기 계약직,정원,계(C),724.5,815.0,827.0,843.0,853.0,856.0
정규직,무기 계약직,정원,(별도정원),2.0,8.0,10.0,12.0,15.0,18.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,527.55,734.13,749.38,763.38,752.75,760.99
정규직,무기 계약직,현원,전일제,512.0,719.0,736.0,750.0,738.0,742.0
정규직,무기 계약직,현원,단시간,15.55,15.13,13.38,13.38,14.75,18.99
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),2080.5,2353.5,2466.5,2518.5,2638.5,2641.5
