구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,4.0,4.0,4.0,4.0,4.0,4.0
임원,임원,이사,상임 현원,4.0,4.0,4.0,4.0,4.0,4.0
임원,임원,이사,비상임,7.0,7.0,9.0,8.0,8.0,9.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),6.0,6.0,6.0,6.0,6.0,6.0
정규직,일반 정규직,정원,계(B),5861.0,5993.0,6025.0,6083.0,6158.0,6037.0
정규직,일반 정규직,정원,(별도정원),248.0,291.0,286.0,265.0,245.0,225.0
정규직,일반 정규직,정원,(탄력정원),50.0,50.0,50.0,50.0,50.0,50.0
정규직,일반 정규직,현원,계,5809.5,6027.75,6081.5,6122.0,6181.0,6073.5
정규직,일반 정규직,현원,전일제,5725.0,5946.0,5993.0,6021.0,6071.0,5933.0
정규직,일반 정규직,현원,단시간,84.5,81.75,88.5,101.0,110.0,140.5
정규직,무기 계약직,정원,계(C),1397.0,1397.0,1430.0,1432.0,1432.0,1381.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,960.25,1323.5,1304.75,1297.5,1279.75,1276.75
정규직,무기 계약직,현원,전일제,935.0,1300.0,1266.0,1263.0,1242.0,1237.0
정규직,무기 계약직,현원,단시간,25.25,23.5,38.75,34.5,37.75,39.75
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),7264.0,7396.0,7461.0,7521.0,7596.0,7424.0
