구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,10,10.0,10.0,10.0,10.0,10.0
임원,임원,감사,상임 정원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),704,745.0,756.0,763.0,809.0,806.0
정규직,일반 정규직,정원,(별도정원),20,18.0,17.0,23.0,31.0,37.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,599,717.0,737.0,712.9,746.75,778.25
정규직,일반 정규직,현원,전일제,599,714.0,734.0,702.0,734.0,764.0
정규직,일반 정규직,현원,단시간,0,3.0,3.0,10.9,12.75,14.25
정규직,무기 계약직,정원,계(C),191,249.0,268.0,267.0,267.0,259.0
정규직,무기 계약직,정원,(별도정원),0,0.0,1.0,0.0,0.0,2.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,137,213.75,239.5,234.0,241.0,239.0
정규직,무기 계약직,현원,전일제,137,213.0,238.0,228.0,232.0,230.0
정규직,무기 계약직,현원,단시간,0,0.75,1.5,6.0,9.0,9.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),896,995.0,1025.0,1031.0,1077.0,1066.0
