구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,10.0,10,10.0,10.0,10.0,10.0
임원,임원,감사,상임 정원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),120.0,128,130.0,137.0,139.0,137.0
정규직,일반 정규직,정원,(별도정원),0.0,0,0.0,0.0,0.0,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,115.5,123,125.25,128.5,126.75,132.51
정규직,일반 정규직,현원,전일제,113.0,120,122.0,125.0,124.0,129.0
정규직,일반 정규직,현원,단시간,2.5,3,3.25,3.5,2.75,3.51
정규직,무기 계약직,정원,계(C),15.0,15,15.0,15.0,15.0,15.0
정규직,무기 계약직,정원,(별도정원),0.0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,13.0,14,13.0,12.0,13.0,15.0
정규직,무기 계약직,현원,전일제,13.0,14,13.0,12.0,13.0,15.0
정규직,무기 계약직,현원,단시간,0.0,0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),136.0,144,146.0,153.0,155.0,153.0
