구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1,1,1.0,1.0
임원,임원,기관장,상임 현원,1,1.0,1,1,1.0,1.0
임원,임원,기관장,비상임,0,0.0,0,0,0.0,0.0
임원,임원,이사,상임 정원,0,0.0,0,0,0.0,0.0
임원,임원,이사,상임 현원,0,0.0,0,0,0.0,0.0
임원,임원,이사,비상임,0,0.0,0,0,0.0,0.0
임원,임원,감사,상임 정원,0,0.0,0,0,0.0,0.0
임원,임원,감사,상임 현원,0,0.0,0,0,0.0,0.0
임원,임원,감사,비상임,1,1.0,1,1,1.0,1.0
임원,임원,기타,기타,0,0.0,0,0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1.0,1,1,1.0,1.0
정규직,일반 정규직,정원,계(B),173,175.0,175,177,180.0,180.0
정규직,일반 정규직,정원,(별도정원),5,7.0,3,4,6.0,6.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0,0,0.0,0.0
정규직,일반 정규직,현원,계,158,168.0,167,169,175.5,172.75
정규직,일반 정규직,현원,전일제,158,168.0,167,169,174.0,172.0
정규직,일반 정규직,현원,단시간,0,0.0,0,0,1.5,0.75
정규직,무기 계약직,정원,계(C),101,101.0,101,101,102.0,100.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0,0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0,0,0.0,0.0
정규직,무기 계약직,현원,계,44,93.75,93,99,95.75,94.75
정규직,무기 계약직,현원,전일제,44,93.0,93,99,95.0,94.0
정규직,무기 계약직,현원,단시간,0,0.75,0,0,0.75,0.75
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),275,277.0,277,279,283.0,281.0
