구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1,1,1
임원,임원,기관장,상임 현원,1,1,1,1,1,1
임원,임원,기관장,비상임,0,0,0,0,0,0
임원,임원,이사,상임 정원,4,4,4,4,4,4
임원,임원,이사,상임 현원,4,4,4,4,3,4
임원,임원,이사,비상임,5,6,6,6,6,6
임원,임원,감사,상임 정원,1,1,1,1,1,1
임원,임원,감사,상임 현원,1,1,1,1,1,1
임원,임원,감사,비상임,0,0,0,0,0,0
임원,임원,기타,기타,0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),6,6,6,6,6,6
정규직,일반 정규직,정원,계(B),1777,1782,1792,1792,1796,1740
정규직,일반 정규직,정원,(별도정원),9,11,15,15,19,18
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0
정규직,일반 정규직,현원,계,1766,1758,1772,1762,1682,1664
정규직,일반 정규직,현원,전일제,1766,1758,1772,1762,1682,1664
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0
정규직,무기 계약직,정원,계(C),92,92,92,25,25,25
정규직,무기 계약직,정원,(별도정원),0,0,0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0
정규직,무기 계약직,현원,계,22,18,21,22,22,22
정규직,무기 계약직,현원,전일제,22,18,21,22,22,22
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1875,1880,1890,1823,1827,1771
