구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,6.0,6.0,6.0,6.0,6.0,5.0
임원,임원,이사,상임 현원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,비상임,7.0,7.0,6.0,7.0,7.0,7.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),8.0,8.0,8.0,8.0,8.0,7.0
정규직,일반 정규직,정원,계(B),1303.0,1351.0,1388.0,1448.0,1486.0,1475.0
정규직,일반 정규직,정원,(별도정원),13.0,13.0,13.0,19.0,23.0,33.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,1269.75,1335.75,1376.75,1444.38,1461.75,1465.5
정규직,일반 정규직,현원,전일제,1266.0,1332.0,1367.0,1436.0,1452.0,1455.0
정규직,일반 정규직,현원,단시간,3.75,3.75,9.75,8.38,9.75,10.5
정규직,무기 계약직,정원,계(C),82.0,95.0,95.0,95.0,95.0,84.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,75.0,84.25,87.25,88.75,85.5,86.25
정규직,무기 계약직,현원,전일제,69.0,76.0,79.0,76.0,69.0,72.0
정규직,무기 계약직,현원,단시간,6.0,8.25,8.25,12.75,16.5,14.25
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1393.0,1454.0,1491.0,1551.0,1589.0,1566.0
