구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,17.0,17.0,17.0,17.0,4.0,17.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),208.0,212.0,216.0,222.0,227.0,227.0
정규직,일반 정규직,정원,(별도정원),0.0,1.0,2.0,1.0,1.0,2.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,165.75,183.5,186.75,191.88,199.26,197.13
정규직,일반 정규직,현원,전일제,158.0,172.0,177.0,183.0,191.0,190.0
정규직,일반 정규직,현원,단시간,7.75,11.5,9.75,8.88,8.26,7.13
정규직,무기 계약직,정원,계(C),76.0,76.0,76.0,76.0,76.0,73.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,67.25,59.25,58.0,56.5,57.0,60.25
정규직,무기 계약직,현원,전일제,66.0,57.0,56.0,53.0,54.0,57.0
정규직,무기 계약직,현원,단시간,1.25,2.25,2.0,3.5,3.0,3.25
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),285.0,289.0,293.0,299.0,304.0,301.0
