구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1,1,1,1.0
임원,임원,기관장,상임 현원,1.0,1,1,1,1,1.0
임원,임원,기관장,비상임,0.0,0,0,0,0,0.0
임원,임원,이사,상임 정원,1.0,1,1,1,1,1.0
임원,임원,이사,상임 현원,1.0,1,1,1,1,1.0
임원,임원,이사,비상임,7.0,8,8,8,8,9.0
임원,임원,감사,상임 정원,0.0,0,0,0,0,0.0
임원,임원,감사,상임 현원,0.0,0,0,0,0,0.0
임원,임원,감사,비상임,1.0,1,1,1,1,1.0
임원,임원,기타,기타,0.0,0,0,0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2,2,2,2,2.0
정규직,일반 정규직,정원,계(B),135.0,140,151,158,160,156.0
정규직,일반 정규직,정원,(별도정원),0.0,1,1,1,1,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0,0,0,0.0
정규직,일반 정규직,현원,계,129.0,129,141,150,152,150.5
정규직,일반 정규직,현원,전일제,127.0,128,140,149,151,150.0
정규직,일반 정규직,현원,단시간,2.0,1,1,1,1,0.5
정규직,무기 계약직,정원,계(C),23.0,14,16,16,18,16.0
정규직,무기 계약직,정원,(별도정원),0.0,0,0,0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0,0,0,0.0
정규직,무기 계약직,현원,계,12.25,14,12,15,17,14.0
정규직,무기 계약직,현원,전일제,11.0,12,10,13,15,12.0
정규직,무기 계약직,현원,단시간,1.25,2,2,2,2,2.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),160.0,156,169,176,180,174.0
