구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,10.0,10.0,9.0,10.0,10.0,10.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),74.0,84.0,88.0,89.0,99.0,96.0
정규직,일반 정규직,정원,(별도정원),1.0,0.0,2.0,0.0,0.0,0.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,72.75,76.88,82.88,80.88,94.88,91.88
정규직,일반 정규직,현원,전일제,71.0,75.0,81.0,79.0,93.0,90.0
정규직,일반 정규직,현원,단시간,1.75,1.88,1.88,1.88,1.88,1.88
정규직,무기 계약직,정원,계(C),1.0,1.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,전일제,0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),76.0,86.0,89.0,90.0,100.0,97.0
