구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1,1
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1,1
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0,0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0,0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0,0
임원,임원,이사,비상임,16.0,16.0,16.0,16.0,16,16
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0,0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0,0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1,1
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1,1
정규직,일반 정규직,정원,계(B),441.0,441.0,442.0,441.0,441,441
정규직,일반 정규직,정원,(별도정원),0.0,0.0,0.0,0.0,0,0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0,0
정규직,일반 정규직,현원,계,259.4,307.88,327.63,352.75,347,359
정규직,일반 정규직,현원,전일제,259.0,307.0,326.0,350.0,347,359
정규직,일반 정규직,현원,단시간,0.4,0.875,1.625,2.75,0,0
정규직,무기 계약직,정원,계(C),0.0,0.0,0.0,0.0,0,0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0,0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0,0
정규직,무기 계약직,현원,계,0.0,0.0,0.0,0.0,0,0
정규직,무기 계약직,현원,전일제,0.0,0.0,0.0,0.0,0,0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0.0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),442.0,442.0,443.0,442.0,442,442
