구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,상임 현원,4.0,5.0,5.0,5.0,4.0,5.0
임원,임원,이사,비상임,7.0,7.0,7.0,7.0,7.0,6.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),7.0,7.0,7.0,7.0,7.0,7.0
정규직,일반 정규직,정원,계(B),996.0,1015.0,1038.0,1052.0,1064.0,1060.0
정규직,일반 정규직,정원,(별도정원),40.0,40.0,44.0,45.0,42.0,38.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,970.5,993.0,1012.88,1035.5,1048.5,1031.98
정규직,일반 정규직,현원,전일제,969.0,993.0,1009.0,1034.0,1048.0,1028.0
정규직,일반 정규직,현원,단시간,1.5,0.0,3.88,1.5,0.5,3.98
정규직,무기 계약직,정원,계(C),233.0,233.0,233.0,233.0,233.0,233.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,202.0,198.75,193.5,197.75,181.88,186.2
정규직,무기 계약직,현원,전일제,198.0,194.0,189.0,193.0,178.0,179.0
정규직,무기 계약직,현원,단시간,4.0,4.75,4.5,4.75,3.88,7.2
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1236.0,1255.0,1278.0,1292.0,1304.0,1300.0
