구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1,1.0,1,1.0
임원,임원,기관장,상임 현원,1.0,0.0,1,1.0,1,1.0
임원,임원,기관장,비상임,0.0,0.0,0,0.0,0,0.0
임원,임원,이사,상임 정원,1.0,1.0,1,1.0,1,1.0
임원,임원,이사,상임 현원,1.0,1.0,1,1.0,1,1.0
임원,임원,이사,비상임,7.0,6.0,7,9.0,6,7.0
임원,임원,감사,상임 정원,0.0,0.0,0,0.0,0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0,0.0,0,0.0
임원,임원,감사,비상임,0.0,1.0,1,1.0,1,1.0
임원,임원,기타,기타,0.0,0.0,0,0.0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2,2.0,2,2.0
정규직,일반 정규직,정원,계(B),780.0,798.0,797,817.0,844,838.0
정규직,일반 정규직,정원,(별도정원),8.0,16.0,10,12.0,16,22.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0,0.0,0,0.0
정규직,일반 정규직,현원,계,724.5,732.5,733,729.38,730,712.38
정규직,일반 정규직,현원,전일제,719.0,726.0,727,723.0,725,706.0
정규직,일반 정규직,현원,단시간,5.5,6.5,6,6.38,5,6.38
정규직,무기 계약직,정원,계(C),24.0,46.0,46,46.0,46,35.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0,0.0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0,0.0,0,0.0
정규직,무기 계약직,현원,계,19.0,45.0,43,34.0,33,28.0
정규직,무기 계약직,현원,전일제,19.0,45.0,43,34.0,33,28.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0,0.0,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),806.0,846.0,845,865.0,892,875.0
