구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1,1,1,1.0
임원,임원,기관장,상임 현원,1.0,1,1,1,1,1.0
임원,임원,기관장,비상임,0.0,0,0,0,0,0.0
임원,임원,이사,상임 정원,2.0,2,2,2,2,2.0
임원,임원,이사,상임 현원,1.0,2,2,1,1,1.0
임원,임원,이사,비상임,5.0,5,5,5,5,4.0
임원,임원,감사,상임 정원,1.0,1,1,1,1,1.0
임원,임원,감사,상임 현원,1.0,1,1,1,1,1.0
임원,임원,감사,비상임,0.0,0,0,0,0,0.0
임원,임원,기타,기타,0.0,0,0,0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4.0,4,4,4,4,4.0
정규직,일반 정규직,정원,계(B),1108.0,976,860,732,633,612.0
정규직,일반 정규직,정원,(별도정원),0.0,0,0,0,0,0.0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0,0,0,0.0
정규직,일반 정규직,현원,계,1012.75,958,830,714,612,429.38
정규직,일반 정규직,현원,전일제,1012.0,958,830,714,612,429.0
정규직,일반 정규직,현원,단시간,0.75,0,0,0,0,0.38
정규직,무기 계약직,정원,계(C),23.0,22,20,19,18,17.0
정규직,무기 계약직,정원,(별도정원),0.0,0,0,0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0,0,0,0.0
정규직,무기 계약직,현원,계,21.0,18,18,18,8,5.0
정규직,무기 계약직,현원,전일제,21.0,18,18,18,8,5.0
정규직,무기 계약직,현원,단시간,0.0,0,0,0,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1135.0,1002,884,755,655,633.0
