구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,0,0,0,0,0,0
임원,임원,기관장,상임 현원,0,0,0,0,0,0
임원,임원,기관장,비상임,1,1,1,1,1,1
임원,임원,이사,상임 정원,1,1,1,1,1,1
임원,임원,이사,상임 현원,1,1,1,1,1,1
임원,임원,이사,비상임,21,23,20,31,30,30
임원,임원,감사,상임 정원,0,0,0,0,0,0
임원,임원,감사,상임 현원,0,0,0,0,0,0
임원,임원,감사,비상임,2,2,2,2,2,2
임원,임원,기타,기타,0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1,1,1,1
정규직,일반 정규직,정원,계(B),72,75,79,80,85,86
정규직,일반 정규직,정원,(별도정원),0,0,0,0,0,1
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0
정규직,일반 정규직,현원,계,71,69,73,73,78,81
정규직,일반 정규직,현원,전일제,71,69,73,73,78,81
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0
정규직,무기 계약직,정원,계(C),16,50,48,53,53,55
정규직,무기 계약직,정원,(별도정원),0,0,0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0
정규직,무기 계약직,현원,계,14,48,47,51,49,51
정규직,무기 계약직,현원,전일제,14,48,47,51,49,51
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),89,126,128,134,139,142
