구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,0.0,0.0,0,0.0,0.0,0
임원,임원,기관장,상임 현원,0.0,0.0,0,0.0,0.0,0
임원,임원,기관장,비상임,1.0,1.0,1,1.0,1.0,1
임원,임원,이사,상임 정원,0.0,0.0,0,0.0,0.0,0
임원,임원,이사,상임 현원,0.0,0.0,0,0.0,0.0,0
임원,임원,이사,비상임,2.0,2.0,1,2.0,2.0,2
임원,임원,감사,상임 정원,0.0,0.0,0,0.0,0.0,0
임원,임원,감사,상임 현원,0.0,0.0,0,0.0,0.0,0
임원,임원,감사,비상임,1.0,1.0,1,1.0,1.0,1
임원,임원,기타,기타,0.0,0.0,0,0.0,0.0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),0.0,0.0,0,0.0,0.0,0
정규직,일반 정규직,정원,계(B),3669.0,4059.0,4060,4060.0,4201.0,4229
정규직,일반 정규직,정원,(별도정원),115.0,115.0,116,116.0,116.0,116
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0,0.0,0.0,0
정규직,일반 정규직,현원,계,3559.5,3825.5,3890,4018.5,4119.5,4213
정규직,일반 정규직,현원,전일제,3539.0,3807.0,3873,3995.0,4094.0,4189
정규직,일반 정규직,현원,단시간,20.5,18.5,17,23.5,25.5,24
정규직,무기 계약직,정원,계(C),235.0,235.0,235,235.0,174.0,136
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0,0.0,0.0,0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0,0.0,0.0,0
정규직,무기 계약직,현원,계,160.0,152.0,214,155.0,127.0,112
정규직,무기 계약직,현원,전일제,160.0,152.0,214,155.0,127.0,112
정규직,무기 계약직,현원,단시간,0.0,0.0,0,0.0,0.0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),3904.0,4294.0,4295,4295.0,4375.0,4365
