구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,0,0,0,0,0,0
임원,임원,기관장,상임 현원,0,0,0,0,0,0
임원,임원,기관장,비상임,1,1,1,1,1,1
임원,임원,이사,상임 정원,1,1,1,1,1,1
임원,임원,이사,상임 현원,1,1,1,1,1,1
임원,임원,이사,비상임,43,44,38,45,47,46
임원,임원,감사,상임 정원,0,0,0,0,0,0
임원,임원,감사,상임 현원,0,0,0,0,0,0
임원,임원,감사,비상임,2,2,1,3,3,3
임원,임원,기타,기타,0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1,1,1,1
정규직,일반 정규직,정원,계(B),204,214,217,219,229,233
정규직,일반 정규직,정원,(별도정원),8,9,13,5,3,10
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0
정규직,일반 정규직,현원,계,193,209,215,205,214,214
정규직,일반 정규직,현원,전일제,193,209,215,205,214,214
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0
정규직,무기 계약직,정원,계(C),54,56,50,48,50,47
정규직,무기 계약직,정원,(별도정원),0,2,2,0,1,0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0
정규직,무기 계약직,현원,계,51,53,46,45,48,42
정규직,무기 계약직,현원,전일제,51,53,46,45,48,42
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),259,271,268,268,280,281
