구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,14.0,14.0,14.0,14.0,14.0,14.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),107.0,113.0,115.0,116.0,116.0,111.0
정규직,일반 정규직,정원,(별도정원),7.0,8.0,6.0,6.0,10.0,5.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,96.5,109.0,112.75,111.0,111.0,107.18
정규직,일반 정규직,현원,전일제,96.0,108.0,111.0,110.0,110.0,106.0
정규직,일반 정규직,현원,단시간,0.5,1.0,1.75,1.0,1.0,1.18
정규직,무기 계약직,정원,계(C),31.0,31.0,34.0,34.0,35.0,34.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,1.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,25.2,26.6,32.2,33.2,28.2,30.0
정규직,무기 계약직,현원,전일제,24.0,26.0,31.0,32.0,27.0,30.0
정규직,무기 계약직,현원,단시간,1.2,0.6,1.2,1.2,1.2,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),139.0,145.0,150.0,151.0,152.0,146.0
