구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,0,0,0.0,0.0,0.0,1.0
임원,임원,기관장,상임 현원,0,0,0.0,0.0,0.0,1.0
임원,임원,기관장,비상임,1,1,1.0,1.0,1.0,0.0
임원,임원,이사,상임 정원,2,2,2.0,2.0,2.0,1.0
임원,임원,이사,상임 현원,2,2,2.0,2.0,2.0,0.0
임원,임원,이사,비상임,9,9,12.0,11.0,10.0,14.0
임원,임원,감사,상임 정원,0,0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,2,2,2.0,2.0,0.0,2.0
임원,임원,기타,기타,0,0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2,2,2.0,2.0,2.0,2.0
정규직,일반 정규직,정원,계(B),42,42,47.0,44.0,58.0,58.0
정규직,일반 정규직,정원,(별도정원),2,0,3.0,0.0,2.0,3.0
정규직,일반 정규직,정원,(탄력정원),0,0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,40,39,44.6,41.5,56.87,54.87
정규직,일반 정규직,현원,전일제,40,39,44.0,41.0,56.0,54.0
정규직,일반 정규직,현원,단시간,0,0,0.6,0.5,0.87,0.87
정규직,무기 계약직,정원,계(C),3,4,4.0,4.0,11.0,10.0
정규직,무기 계약직,정원,(별도정원),0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,1,2,3.0,3.0,9.0,7.87
정규직,무기 계약직,현원,전일제,1,2,3.0,3.0,9.0,7.0
정규직,무기 계약직,현원,단시간,0,0,0.0,0.0,0.0,0.87
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),47,48,53.0,50.0,71.0,70.0
