구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1,1,1.0
임원,임원,기관장,상임 현원,1,1,1,1,1,1.0
임원,임원,기관장,비상임,0,0,0,0,0,0.0
임원,임원,이사,상임 정원,3,3,3,3,3,3.0
임원,임원,이사,상임 현원,3,2,3,3,3,3.0
임원,임원,이사,비상임,7,7,7,7,7,7.0
임원,임원,감사,상임 정원,0,0,0,0,0,0.0
임원,임원,감사,상임 현원,0,0,0,0,0,0.0
임원,임원,감사,비상임,0,0,0,0,0,0.0
임원,임원,기타,기타,0,0,0,0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4,4,4,4,4,4.0
정규직,일반 정규직,정원,계(B),220,230,241,257,263,253.0
정규직,일반 정규직,정원,(별도정원),4,1,0,1,1,1.0
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0.0
정규직,일반 정규직,현원,계,199,213,226,243,247,240.75
정규직,일반 정규직,현원,전일제,197,211,225,242,246,239.0
정규직,일반 정규직,현원,단시간,2,2,1,1,1,1.75
정규직,무기 계약직,정원,계(C),11,11,12,12,12,12.0
정규직,무기 계약직,정원,(별도정원),0,0,0,0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0.0
정규직,무기 계약직,현원,계,12,12,12,12,9,9.0
정규직,무기 계약직,현원,전일제,12,12,12,12,9,9.0
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),235,245,257,273,279,269.0
