구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,0.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,비상임,8.0,6.0,8.0,8.0,8.0,8.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2.0,2.0,2.0,2.0
정규직,일반 정규직,정원,계(B),49.0,52.0,53.0,54.0,57.0,55.0
정규직,일반 정규직,정원,(별도정원),0.0,0.0,0.0,0.0,1.0,0.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,40.0,50.75,49.25,47.88,52.25,52.0
정규직,일반 정규직,현원,전일제,40.0,50.0,45.0,44.0,50.0,49.0
정규직,일반 정규직,현원,단시간,0.0,0.75,4.25,3.875,2.25,3.0
정규직,무기 계약직,정원,계(C),127.0,127.0,118.0,118.0,118.0,114.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,111.38,108.75,109.88,104.63,103.88,109.63
정규직,무기 계약직,현원,전일제,110.0,107.0,103.0,100.0,100.0,105.0
정규직,무기 계약직,현원,단시간,1.375,1.75,6.875,4.625,3.875,4.625
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),178.0,181.0,173.0,174.0,177.0,171.0
