구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,상임 현원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,비상임,6.0,6.0,6.0,6.0,6.0,6.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4.0,4.0,4.0,4.0,4.0,4.0
정규직,일반 정규직,정원,계(B),222.0,224.0,232.0,243.0,249.0,238.0
정규직,일반 정규직,정원,(별도정원),5.0,4.0,5.0,10.0,9.0,8.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,203.25,210.63,221.63,224.88,234.34,223.41
정규직,일반 정규직,현원,전일제,201.0,206.0,217.0,218.0,225.0,214.0
정규직,일반 정규직,현원,단시간,2.25,4.63,4.63,6.88,9.34,9.41
정규직,무기 계약직,정원,계(C),4.0,11.0,15.0,15.0,15.0,15.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,6.75,13.75,12.75,14.5,14.5,14.3
정규직,무기 계약직,현원,전일제,6.0,13.0,12.0,13.0,13.0,12.0
정규직,무기 계약직,현원,단시간,0.75,0.75,0.75,1.5,1.5,2.3
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),230.0,239.0,251.0,262.0,268.0,257.0
