구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1,1,1,1
임원,임원,기관장,상임 현원,1,1.0,1,1,1,0
임원,임원,기관장,비상임,0,0.0,0,0,0,0
임원,임원,이사,상임 정원,2,2.0,2,2,2,2
임원,임원,이사,상임 현원,2,2.0,1,1,2,1
임원,임원,이사,비상임,0,5.0,5,5,5,5
임원,임원,감사,상임 정원,0,0.0,0,0,0,0
임원,임원,감사,상임 현원,0,0.0,0,0,0,0
임원,임원,감사,비상임,1,1.0,1,1,1,1
임원,임원,기타,기타,0,0.0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),3,3.0,3,3,3,3
정규직,일반 정규직,정원,계(B),77,75.0,80,87,90,90
정규직,일반 정규직,정원,(별도정원),0,0.0,0,0,0,2
정규직,일반 정규직,정원,(탄력정원),0,0.0,0,0,0,0
정규직,일반 정규직,현원,계,24,75.0,78,81,84,85
정규직,일반 정규직,현원,전일제,24,75.0,78,81,84,85
정규직,일반 정규직,현원,단시간,0,0.0,0,0,0,0
정규직,무기 계약직,정원,계(C),0,12.0,12,12,12,12
정규직,무기 계약직,정원,(별도정원),0,0.0,0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0,0,0,0
정규직,무기 계약직,현원,계,0,11.5,12,12,12,12
정규직,무기 계약직,현원,전일제,0,11.0,11,11,11,11
정규직,무기 계약직,현원,단시간,0,0.5,1,1,1,1
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),80,90.0,95,102,105,105
