구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,8.0,8.0,8.0,8.0,8.0,8.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2.0,2.0,2.0,2.0
정규직,일반 정규직,정원,계(B),6653.0,7261.0,8019.0,8215.0,8337.0,8389.0
정규직,일반 정규직,정원,(별도정원),99.0,93.0,105.0,121.0,137.0,125.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,6294.0,7290.0,7604.0,7792.0,7993.0,8057.0
정규직,일반 정규직,현원,전일제,6294.0,7290.0,7604.0,7792.0,7993.0,8057.0
정규직,일반 정규직,현원,단시간,0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,계(C),411.0,61.0,61.0,61.0,61.0,61.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,185.03,342.27,323.65,279.17,262.72,268.6
정규직,무기 계약직,현원,전일제,83.0,296.0,265.0,217.0,180.0,175.0
정규직,무기 계약직,현원,단시간,102.03,46.27,58.65,62.17,82.72,93.6
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),7066.0,7324.0,8082.0,8278.0,8400.0,8452.0
