구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,상임 현원,0.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,비상임,9.0,9.0,11.0,11.0,11.0,12.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,0.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),3.0,3.0,3.0,3.0,3.0,3.0
정규직,일반 정규직,정원,계(B),823.0,817.0,832.0,842.0,847.0,837.0
정규직,일반 정규직,정원,(별도정원),12.0,6.0,16.0,25.0,17.0,24.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,808.56,803.63,817.44,832.63,831.38,820.38
정규직,일반 정규직,현원,전일제,800.0,796.0,815.0,828.0,829.0,818.0
정규직,일반 정규직,현원,단시간,8.56,7.63,2.44,4.63,2.38,2.38
정규직,무기 계약직,정원,계(C),891.0,891.0,799.0,797.0,796.0,640.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,1.0,2.0,1.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,689.75,699.2,729.15,702.0,621.4,562.15
정규직,무기 계약직,현원,전일제,560.0,568.0,604.0,617.0,525.0,480.0
정규직,무기 계약직,현원,단시간,129.75,131.2,125.15,85.0,96.4,82.15
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1717.0,1711.0,1634.0,1642.0,1646.0,1480.0
