구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1.0,1,1
임원,임원,기관장,상임 현원,1,1,1,1.0,1,1
임원,임원,기관장,비상임,0,0,0,0.0,0,0
임원,임원,이사,상임 정원,1,1,1,1.0,1,1
임원,임원,이사,상임 현원,1,1,1,1.0,1,1
임원,임원,이사,비상임,9,9,9,10.0,10,10
임원,임원,감사,상임 정원,0,0,0,0.0,0,0
임원,임원,감사,상임 현원,0,0,0,0.0,0,0
임원,임원,감사,비상임,1,1,1,1.0,1,1
임원,임원,기타,기타,0,0,0,0.0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),2,2,2,2.0,2,2
정규직,일반 정규직,정원,계(B),33,37,40,43.0,47,47
정규직,일반 정규직,정원,(별도정원),0,0,0,0.0,0,0
정규직,일반 정규직,정원,(탄력정원),0,0,0,0.0,0,0
정규직,일반 정규직,현원,계,33,34,36,42.25,43,46
정규직,일반 정규직,현원,전일제,33,34,35,41.0,43,46
정규직,일반 정규직,현원,단시간,0,0,1,1.25,0,0
정규직,무기 계약직,정원,계(C),50,55,55,55.0,55,52
정규직,무기 계약직,정원,(별도정원),0,0,0,0.0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0.0,0,0
정규직,무기 계약직,현원,계,50,44,46,41.0,42,44
정규직,무기 계약직,현원,전일제,50,44,46,41.0,42,44
정규직,무기 계약직,현원,단시간,0,0,0,0.0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),85,94,97,100.0,104,101
