구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,6.0,6,6.0,6.0,6.0,6.0
임원,임원,감사,상임 정원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),140.0,145,176.0,178.0,180.0,187.0
정규직,일반 정규직,정원,(별도정원),0.0,0,0.0,0.0,1.0,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,120.75,140,172.0,169.4,172.0,162.0
정규직,일반 정규직,현원,전일제,120.0,140,172.0,169.0,172.0,162.0
정규직,일반 정규직,현원,단시간,0.75,0,0.0,0.4,0.0,0.0
정규직,무기 계약직,정원,계(C),79.0,79,86.0,86.0,92.0,88.0
정규직,무기 계약직,정원,(별도정원),0.0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,64.0,66,77.75,75.5,81.5,80.5
정규직,무기 계약직,현원,전일제,64.0,66,77.0,74.0,80.0,79.0
정규직,무기 계약직,현원,단시간,0.0,0,0.75,1.5,1.5,1.5
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),220.0,225,263.0,265.0,273.0,276.0
