구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,상임 현원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,비상임,7.0,7.0,7.0,7.0,7.0,8.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),7.0,7.0,7.0,7.0,7.0,7.0
정규직,일반 정규직,정원,계(B),2390.0,2485.0,2538.0,2657.0,2717.0,2740.0
정규직,일반 정규직,정원,(별도정원),11.0,6.0,9.0,31.0,39.0,62.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,2366.0,2441.25,2488.75,2599.25,2633.25,2672.75
정규직,일반 정규직,현원,전일제,2340.0,2395.0,2444.0,2549.0,2566.0,2582.0
정규직,일반 정규직,현원,단시간,26.0,46.25,44.75,50.25,67.25,90.75
정규직,무기 계약직,정원,계(C),223.5,223.5,223.5,223.5,223.5,159.5
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,174.75,163.38,153.13,139.0,141.63,139.63
정규직,무기 계약직,현원,전일제,132.0,121.0,116.0,104.0,106.0,104.0
정규직,무기 계약직,현원,단시간,42.75,42.38,37.13,35.0,35.63,35.63
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),2620.5,2715.5,2768.5,2887.5,2947.5,2906.5
