구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1,1,1
임원,임원,기관장,상임 현원,1,1,1,1,1,1
임원,임원,기관장,비상임,0,0,0,0,0,0
임원,임원,이사,상임 정원,2,2,2,2,2,2
임원,임원,이사,상임 현원,2,2,2,1,2,2
임원,임원,이사,비상임,4,4,4,4,3,3
임원,임원,감사,상임 정원,0,0,0,0,0,0
임원,임원,감사,상임 현원,0,0,0,0,0,0
임원,임원,감사,비상임,1,1,1,1,1,1
임원,임원,기타,기타,0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),3,3,3,3,3,3
정규직,일반 정규직,정원,계(B),50,69,69,75,82,82
정규직,일반 정규직,정원,(별도정원),1,0,0,1,1,1
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0
정규직,일반 정규직,현원,계,39,45,65,71,76,76
정규직,일반 정규직,현원,전일제,39,45,65,71,76,76
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0
정규직,무기 계약직,정원,계(C),10,28,29,30,28,28
정규직,무기 계약직,정원,(별도정원),0,0,1,1,1,1
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0
정규직,무기 계약직,현원,계,10,28,27,26,26,27
정규직,무기 계약직,현원,전일제,10,28,27,26,26,27
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),63,100,101,108,113,113
