구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1,1,1,1
임원,임원,기관장,상임 현원,1.0,1,1,1,1,1
임원,임원,기관장,비상임,0.0,0,0,0,0,0
임원,임원,이사,상임 정원,2.0,2,2,3,3,3
임원,임원,이사,상임 현원,2.0,2,2,3,3,3
임원,임원,이사,비상임,7.0,7,6,7,7,7
임원,임원,감사,상임 정원,0.0,0,0,0,0,0
임원,임원,감사,상임 현원,0.0,0,0,0,0,0
임원,임원,감사,비상임,0.0,0,0,0,0,0
임원,임원,기타,기타,0.0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),3.0,3,3,4,4,4
정규직,일반 정규직,정원,계(B),144.0,146,158,164,167,170
정규직,일반 정규직,정원,(별도정원),4.0,0,1,3,4,0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0,0,0,0
정규직,일반 정규직,현원,계,177.0,180,197,199,193,203
정규직,일반 정규직,현원,전일제,177.0,180,197,199,193,203
정규직,일반 정규직,현원,단시간,0.0,0,0,0,0,0
정규직,무기 계약직,정원,계(C),7.0,6,6,6,6,5
정규직,무기 계약직,정원,(별도정원),1.0,0,0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0,0,0,0
정규직,무기 계약직,현원,계,4.5,5,5,5,5,4
정규직,무기 계약직,현원,전일제,4.0,4,4,4,4,4
정규직,무기 계약직,현원,단시간,0.5,1,1,1,1,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),154.0,155,167,174,177,179
