구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,상임 현원,4.0,5.0,5.0,4.0,3.0,5.0
임원,임원,이사,비상임,7.0,7.0,7.0,7.0,7.0,7.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),7.0,7.0,7.0,7.0,7.0,7.0
정규직,일반 정규직,정원,계(B),727.0,743.0,744.0,767.0,807.0,778.0
정규직,일반 정규직,정원,(별도정원),21.0,25.0,17.0,13.0,27.0,32.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,693.75,708.5,714.5,728.75,742.13,743.5
정규직,일반 정규직,현원,전일제,691.0,705.0,711.0,726.0,739.0,740.0
정규직,일반 정규직,현원,단시간,2.75,3.5,3.5,2.75,3.13,3.5
정규직,무기 계약직,정원,계(C),54.0,54.0,54.0,54.0,54.0,54.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,51.0,52.0,52.0,54.0,50.0,51.88
정규직,무기 계약직,현원,전일제,51.0,51.0,49.0,51.0,47.0,49.0
정규직,무기 계약직,현원,단시간,0.0,1.0,3.0,3.0,3.0,2.88
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),788.0,804.0,805.0,828.0,868.0,839.0
