구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1,1,1.0
임원,임원,기관장,상임 현원,1,1,1,1,1,1.0
임원,임원,기관장,비상임,0,0,0,0,0,0.0
임원,임원,이사,상임 정원,0,0,0,0,0,0.0
임원,임원,이사,상임 현원,0,0,0,0,0,0.0
임원,임원,이사,비상임,13,14,14,15,16,15.0
임원,임원,감사,상임 정원,0,0,0,0,0,0.0
임원,임원,감사,상임 현원,0,0,0,0,0,0.0
임원,임원,감사,비상임,1,1,1,1,1,1.0
임원,임원,기타,기타,0,0,0,0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1,1,1,1.0
정규직,일반 정규직,정원,계(B),133,134,136,136,138,132.0
정규직,일반 정규직,정원,(별도정원),7,8,10,9,9,3.0
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0.0
정규직,일반 정규직,현원,계,135,130,128,135,135,128.5
정규직,일반 정규직,현원,전일제,135,130,128,135,135,128.0
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0.5
정규직,무기 계약직,정원,계(C),254,254,254,254,254,244.0
정규직,무기 계약직,정원,(별도정원),0,0,0,0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0.0
정규직,무기 계약직,현원,계,248,246,245,226,223,229.0
정규직,무기 계약직,현원,전일제,248,246,245,226,223,229.0
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),388,389,391,391,393,377.0
