구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1,1.0,1.0
임원,임원,기관장,상임 현원,1,0.0,1.0,1,1.0,1.0
임원,임원,기관장,비상임,0,0.0,0.0,0,0.0,0.0
임원,임원,이사,상임 정원,3,3.0,3.0,3,3.0,3.0
임원,임원,이사,상임 현원,3,3.0,3.0,3,3.0,3.0
임원,임원,이사,비상임,7,7.0,7.0,6,6.0,6.0
임원,임원,감사,상임 정원,0,0.0,0.0,0,0.0,0.0
임원,임원,감사,상임 현원,0,0.0,0.0,0,0.0,0.0
임원,임원,감사,비상임,0,0.0,0.0,0,0.0,0.0
임원,임원,기타,기타,0,0.0,0.0,0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4,4.0,4.0,4,4.0,4.0
정규직,일반 정규직,정원,계(B),228,248.0,253.0,261,264.0,253.0
정규직,일반 정규직,정원,(별도정원),2,6.0,4.0,3,1.0,2.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0,0.0,0.0
정규직,일반 정규직,현원,계,214,225.0,229.0,244,232.5,234.5
정규직,일반 정규직,현원,전일제,213,224.0,228.0,242,231.0,233.0
정규직,일반 정규직,현원,단시간,1,1.0,1.0,2,1.5,1.5
정규직,무기 계약직,정원,계(C),19,19.0,19.0,19,21.0,17.5
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0,1.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0,0.0,0.0
정규직,무기 계약직,현원,계,11,15.75,18.25,19,18.5,18.0
정규직,무기 계약직,현원,전일제,10,14.0,16.0,16,16.0,16.0
정규직,무기 계약직,현원,단시간,1,1.75,2.25,3,2.5,2.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),251,271.0,276.0,284,289.0,274.5
