구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0,0.0,0.0,0.0
임원,임원,이사,비상임,9.0,9.0,9,9.0,9.0,8.0
임원,임원,감사,상임 정원,0.0,0.0,0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),57.0,64.0,64,68.0,71.0,71.0
정규직,일반 정규직,정원,(별도정원),0.0,0.0,0,0.0,0.0,0.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,54.25,57.75,62,58.75,61.75,64.75
정규직,일반 정규직,현원,전일제,52.0,57.0,62,58.0,61.0,64.0
정규직,일반 정규직,현원,단시간,2.25,0.75,0,0.75,0.75,0.75
정규직,무기 계약직,정원,계(C),4.0,4.0,4,4.0,4.0,4.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,3.0,3.0,2,3.0,3.0,2.0
정규직,무기 계약직,현원,전일제,3.0,3.0,2,3.0,3.0,2.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),62.0,69.0,69,73.0,76.0,76.0
