구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,10.0,10.0,10.0,10.0,10.0,10.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2.0,2.0,2.0,2.0
정규직,일반 정규직,정원,계(B),4013.0,4198.0,4402.0,4920.0,5343.0,5366.0
정규직,일반 정규직,정원,(별도정원),33.0,37.0,32.0,23.0,29.0,21.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,3431.0,3757.0,3910.0,4028.0,4701.0,4860.0
정규직,일반 정규직,현원,전일제,3431.0,3757.0,3910.0,4028.0,4701.0,4860.0
정규직,일반 정규직,현원,단시간,0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,계(C),302.5,301.5,270.5,344.5,285.5,285.5
정규직,무기 계약직,정원,(별도정원),1.0,0.0,1.0,15.0,12.0,12.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,205.5,232.5,219.0,222.0,228.5,261.5
정규직,무기 계약직,현원,전일제,187.0,214.0,198.0,200.0,208.0,237.0
정규직,무기 계약직,현원,단시간,18.5,18.5,21.0,22.0,20.5,24.5
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),4317.5,4501.5,4674.5,5266.5,5630.5,5653.5
