구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,8.0,10.0,10.0,10.0,9.0,10.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2.0,2.0,2.0,2.0
정규직,일반 정규직,정원,계(B),2239.0,2323.0,2490.0,2872.0,3079.0,3111.0
정규직,일반 정규직,정원,(별도정원),19.0,28.0,27.0,20.0,28.0,23.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,2069.0,2131.0,2269.0,2463.0,2631.0,2884.0
정규직,일반 정규직,현원,전일제,2069.0,2131.0,2269.0,2463.0,2631.0,2884.0
정규직,일반 정규직,현원,단시간,0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,계(C),427.0,427.0,319.0,176.0,176.0,176.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,363.89,325.76,364.16,392.91,309.79,133.91
정규직,무기 계약직,현원,전일제,335.0,290.0,332.0,352.0,267.0,93.0
정규직,무기 계약직,현원,단시간,28.89,35.7625,32.1625,40.9125,42.7875,40.9125
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),2668.0,2752.0,2811.0,3050.0,3257.0,3289.0
