구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),203.0,224.0,231.0,238.0,249.0,247.0
정규직,일반 정규직,정원,(별도정원),3.0,6.0,3.0,5.0,5.0,3.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,201.5,216.75,229.5,236.0,248.38,242.0
정규직,일반 정규직,현원,전일제,201.0,216.0,229.0,236.0,248.0,242.0
정규직,일반 정규직,현원,단시간,0.5,0.75,0.5,0.0,0.375,0.0
정규직,무기 계약직,정원,계(C),111.125,111.125,111.125,111.125,111.125,110.125
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,102.13,106.88,107.88,106.63,97.13,102.0
정규직,무기 계약직,현원,전일제,101.0,105.0,106.0,105.0,96.0,100.0
정규직,무기 계약직,현원,단시간,1.125,1.875,1.875,1.625,1.125,2.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),315.13,336.13,343.13,350.13,361.13,358.13
