구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,12.0,12.0,12.0,12.0,12.0,11.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),207.0,221.0,238.0,251.0,256.0,251.0
정규직,일반 정규직,정원,(별도정원),3.0,2.0,1.0,6.0,1.0,4.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,202.0,218.75,235.5,239.88,252.13,244.38
정규직,일반 정규직,현원,전일제,202.0,218.0,235.0,239.0,251.0,244.0
정규직,일반 정규직,현원,단시간,0.0,0.75,0.5,0.875,1.125,0.375
정규직,무기 계약직,정원,계(C),204.0,204.0,204.0,204.0,204.0,202.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,188.5,191.38,186.38,194.75,173.75,180.5
정규직,무기 계약직,현원,전일제,188.0,190.0,183.0,191.0,173.0,179.0
정규직,무기 계약직,현원,단시간,0.5,1.375,3.375,3.75,0.75,1.5
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),412.0,426.0,443.0,456.0,461.0,454.0
