구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1,1
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1,1
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0,0
임원,임원,이사,상임 정원,0,0.0,0.0,0.0,0,0
임원,임원,이사,상임 현원,0,0.0,0.0,0.0,0,0
임원,임원,이사,비상임,0,0.0,0.0,0.0,0,0
임원,임원,감사,상임 정원,0,0.0,0.0,0.0,0,0
임원,임원,감사,상임 현원,0,0.0,0.0,0.0,0,0
임원,임원,감사,비상임,1,1.0,1.0,1.0,1,1
임원,임원,기타,기타,0,0.0,0.0,0.0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1.0,1.0,1.0,1,1
정규직,일반 정규직,정원,계(B),136,141.0,137.0,137.0,141,139
정규직,일반 정규직,정원,(별도정원),1,6.0,1.0,1.0,5,3
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0,0
정규직,일반 정규직,현원,계,132,132.23,136.55,132.85,136,139
정규직,일반 정규직,현원,전일제,132,131.0,136.0,132.0,136,139
정규직,일반 정규직,현원,단시간,0,1.23,0.55,0.85,0,0
정규직,무기 계약직,정원,계(C),16,16.0,37.0,37.0,37,37
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0.0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0,0
정규직,무기 계약직,현원,계,14,15.0,35.0,32.0,35,36
정규직,무기 계약직,현원,전일제,14,15.0,35.0,32.0,35,36
정규직,무기 계약직,현원,단시간,0,0.0,0.0,0.0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),153,158.0,175.0,175.0,179,177
