구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1,1.0
임원,임원,기관장,상임 현원,0.0,1.0,1.0,1.0,1,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3,3.0
임원,임원,이사,상임 현원,3.0,3.0,3.0,3.0,2,2.0
임원,임원,이사,비상임,5.0,5.0,5.0,4.0,5,4.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5.0,5.0,5.0,5,5.0
정규직,일반 정규직,정원,계(B),311.0,337.0,350.0,349.0,355,336.0
정규직,일반 정규직,정원,(별도정원),1.0,6.0,2.0,1.0,3,3.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0,0.0
정규직,일반 정규직,현원,계,298.13,317.06,332.56,334.25,332,333.5
정규직,일반 정규직,현원,전일제,289.0,297.0,311.0,312.0,327,329.0
정규직,일반 정규직,현원,단시간,9.13,20.06,21.56,22.25,5,4.5
정규직,무기 계약직,정원,계(C),25.0,25.0,25.0,25.0,25,25.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0,0.0
정규직,무기 계약직,현원,계,22.0,22.5,21.5,20.5,22,23.0
정규직,무기 계약직,현원,전일제,22.0,21.0,20.0,19.0,22,23.0
정규직,무기 계약직,현원,단시간,0.0,1.5,1.5,1.5,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),341.0,367.0,380.0,379.0,385,366.0
