구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1,1,1
임원,임원,기관장,상임 현원,1,1,1,1,1,1
임원,임원,기관장,비상임,0,0,0,0,0,0
임원,임원,이사,상임 정원,2,2,2,2,2,2
임원,임원,이사,상임 현원,2,2,2,2,2,2
임원,임원,이사,비상임,1,1,1,1,1,1
임원,임원,감사,상임 정원,1,1,1,1,1,1
임원,임원,감사,상임 현원,1,1,1,1,1,1
임원,임원,감사,비상임,0,0,0,0,0,0
임원,임원,기타,기타,0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),4,4,4,4,4,4
정규직,일반 정규직,정원,계(B),2389,2360,2382,2457,2492,2508
정규직,일반 정규직,정원,(별도정원),92,63,30,47,52,68
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0
정규직,일반 정규직,현원,계,2249,2301,2359,2423,2415,2485
정규직,일반 정규직,현원,전일제,2249,2301,2359,2423,2415,2485
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0
정규직,무기 계약직,정원,계(C),43,287,287,287,287,215
정규직,무기 계약직,정원,(별도정원),0,0,0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0
정규직,무기 계약직,현원,계,45,270,308,263,211,148
정규직,무기 계약직,현원,전일제,45,270,308,263,211,148
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),2436,2651,2673,2748,2783,2727
