구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,0.0,1.0
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3,3.0,4.0,4.0,4.0,4.0
임원,임원,이사,상임 현원,2,2.0,4.0,4.0,4.0,4.0
임원,임원,이사,비상임,7,7.0,7.0,7.0,7.0,7.0
임원,임원,감사,상임 정원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4,4.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),753,779.0,812.0,908.0,976.0,1059.0
정규직,일반 정규직,정원,(별도정원),11,17.0,20.0,18.0,23.0,26.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,742,759.25,785.0,840.5,937.5,1039.88
정규직,일반 정규직,현원,전일제,734,750.0,777.0,834.0,930.0,1029.0
정규직,일반 정규직,현원,단시간,8,9.25,8.0,6.5,7.5,10.88
정규직,무기 계약직,정원,계(C),36,36.0,41.0,50.0,82.0,59.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,35,31.0,34.75,36.5,51.0,54.0
정규직,무기 계약직,현원,전일제,35,31.0,34.0,35.0,51.0,54.0
정규직,무기 계약직,현원,단시간,0,0.0,0.75,1.5,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),793,819.0,858.0,963.0,1063.0,1123.0
